opcode,alias_of,input_form,oem_source,label_lines,implementation_lines,resource_dependencies,native_owner,dispatch,source_completion,source_failure,cancellation,branch_specific_behavior,source_calls,port_status
aa,,raw tokens,BioXPControlLib/ControlLib.cs,5828-5855,5828-5855,LockGeneral; LockTipOperation,LiftForAir -> ClassControlInterface.liftTo; m_PipetteControl.SetTopSpeed/AspirateAir/readPressure,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Invalid numeric amount no-op; pressure branch conditional. Full ClassPipetteCollection read: SetTopSpeed/AspirateAir use four completion events, bool timeout ignored. LiftForAir geometry/plate branch read.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; double.TryParse; LiftForAir; m_PipetteControl.SetTopSpeed; m_PipetteControl.AspirateAir; m_PipetteControl.readPressure; ClassMessageLog.logMessage; Convert.ToInt32,SPEC DRAFT — not ported/qualified
ampmix,,typed ClassAmpMix,BioXPControlLib/ControlLib.cs,5856-5873,5856-5873,LockGeneral; LockTipOperation,ampmix -> PipetteTransfer + ClassControlInterface.liftTo/lowerTo/MoveZHome,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",Full ampmix7302–7358 and PipetteTransfer10490–10515: absent/nonpositive volume bypasses transfer and delay; speed optional; type switch selects Dispense/Aspirate/AspirateAir; nullable delay Thread.Sleep only when valid volume. Pipette timeout bool not unified error.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; ampmix,SPEC DRAFT — not ported/qualified
catchPlate,catch,raw tokens,BioXPControlLib/ControlLib.cs,5874-5874,5875-5895,LockGeneral,catchPlate -> doorOpen/scriptmoveTo/OpenGripper/CloseGripper/moveG/moveZ,alias fallthrough,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Invalid enum throws inside child. catchPlate 8262–8410 catches/logs/sets m_runningerror, releases gripper in finally and returns without propagating; caller releases General.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; catchPlate; Convert.ToInt32,SPEC DRAFT — not ported/qualified
catch,,raw tokens,BioXPControlLib/ControlLib.cs,5875-5895,5875-5895,LockGeneral,catchPlate -> doorOpen/scriptmoveTo/OpenGripper/CloseGripper/moveG/moveZ,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Invalid enum throws inside child. catchPlate 8262–8410 catches/logs/sets m_runningerror, releases gripper in finally and returns without propagating; caller releases General.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; catchPlate; Convert.ToInt32,SPEC DRAFT — not ported/qualified
cc,,raw tokens,BioXPControlLib/ControlLib.cs,5896-5920,5896-5920,LockGeneral,setChilerTemperature -> ClassControlInterface.setOutputChillerTemp/setReagentChillerTemp -> ClassChillerBoard.setChillerTemp,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",MotionOnly bypass; only OC/RC admitted by branch; invalid temperature/channel becomes no-op. Lower integer result ignored.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; int.TryParse; setChilerTemperature; Convert.ToInt32,SPEC DRAFT — not ported/qualified
cutseal,,raw tokens,BioXPControlLib/ControlLib.cs,5921-5945,5921-5945,LockGeneral; LockGripperOperation,cutSeal -> cut -> ClassControlInterface moves; sendZandGripperHome,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.",Optional count else default; full body 8501–8539. sendZandGripperHome joins Z but not gripper child; interpreter also releases Gripper after return.,ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; cutSeal; Convert.ToInt32,SPEC DRAFT — not ported/qualified
da,,raw tokens,BioXPControlLib/ControlLib.cs,5946-5974,5946-5974,LockGeneral; LockTipOperation,ClassControlInterface.liftTo; m_PipetteControl.SetTopSpeed/DispenseAir/readPressure,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Invalid numeric amount no-op. Full DispenseAir915–985 in ClassPipetteCollection: selected-tip mask/lost-tip callback branch, active events reset/inactive set, waiter false=>sleep and return numeric zero; pressure enable/disable not finally.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; double.TryParse; m_ControlInterface.liftTo; m_PipetteControl.SetTopSpeed; m_PipetteControl.DispenseAir; m_PipetteControl.readPressure; ClassMessageLog.logMessage; Convert.ToInt32,SPEC DRAFT — not ported/qualified
delaypoint,,raw tokens,BioXPControlLib/ControlLib.cs,5975-5994,5975-5994,LockGeneral,m_prepComplete=true; m_delayedStart.Take,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","If no collection, immediate. Otherwise no token passed to blocking Take; release/Stop signaling requires external owner.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; m_delayedStart.Take; ClassMessageLog.logMessage; Convert.ToInt32,SPEC DRAFT — not ported/qualified
dopen,,raw tokens,BioXPControlLib/ControlLib.cs,5995-6039,5995-6039,LockGeneral,doorOpen -> parkGantry/native thermal-door; m_canControl.trigBoardErrorEvent; ReadBarcode/errorEvent,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Door false stops/emits board error; barcode retry flag deliberately withholds General release. ReadBarcode9088–9217 and ScanBarcode9243–9252 fully read: native scan/get string, changed-position retries and conditional image/error path. External error subscriber still required.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; doorOpen; m_canControl.trigBoardErrorEvent; ReadBarcode; ClassMessageLog.logMessage; barcode.ToString; Invoke; Convert.ToInt32,SPEC DRAFT — not ported/qualified
dclose,,raw tokens,BioXPControlLib/ControlLib.cs,6040-6058,6040-6058,LockGeneral,doorOpen -> parkGantry/native closeThermalDoor; board error event,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Door false sets stop and emits board error, then General released. Body 8541–8610 updates model open/closed even when operation returned false.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; doorOpen; m_canControl.trigBoardErrorEvent; Convert.ToInt32,SPEC DRAFT — not ported/qualified
dsa,,typed ClassDispenseAll,BioXPControlLib/ControlLib.cs,6059-6081,6059-6081,LockGeneral; LockTipOperation,mdsa -> ClassControlInterface.liftTo/MoveZHome; pipette Dispense and Purge,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Full core7905–8033 and pipette overloads read; unknown location throws, split/single transfer updates model; purge/ntd/high/height options. Native pipette waiter timeout often does not propagate to workflow.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; mdsa; m_PipetteControl.readPressure; ClassMessageLog.logMessage,SPEC DRAFT — not ported/qualified
ejt,,raw tokens,BioXPControlLib/ControlLib.cs,6082-6171,6082-6171,LockGeneral; LockTipOperation,m_PipetteControl.ejectAllTips plus concurrent state restore/moveX/moveZ; errorEvent,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Nested Task.WaitAll observes two nested tasks, but outer task remains unretained. moveStarted is set before ejection, not completion. TipExist true pauses/errors; false clears dirty/loaded; AllowtoStop true.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; takeAspirateImage; ManualResetEvent; moveStarted.Set; m_PipetteControl.ejectAllTips; moveStarted.WaitOne; ToString; m_machineStatus.restoretip; Convert.ToInt32; Enum.Parse; typeof; m_ControlInterface.moveX; m_ControlInterface.moveZ; Task.WaitAll; Invoke,SPEC DRAFT — not ported/qualified
iniPipette,,raw tokens,BioXPControlLib/ControlLib.cs,6172-6188,6172-6188,LockTipOperation,initPipette; pipette readPressure; addPressureBase,unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Tip-only lock allows General-only overlap. Full initPipette9280–9316: reinitialize, ini return0/-1 or up to3 additional retries, optional move/eject, final throw. Pressure-read/addPressureBase5193–5203 retain shared arrays.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; initPipette; m_PipetteControl.readPressure; addPressureBase; Convert.ToInt32,SPEC DRAFT — not ported/qualified
la,,raw tokens,BioXPControlLib/ControlLib.cs,6189-6203,6189-6203,LockGeneral,"m_machineStatus.la(cmd), W2 owner",unretained Task.Run; immediate line result; resource-release completion,Immediate line result is dispatch return; later releases of resource events gate subsequent acquisitions. Child result is not an awaited outcome.,"No outer child catch/finally; task fault can bypass listed releases. Interpreter catch handles only synchronous errors, sets runningerror/stop, cancels; selected message strings invoke forceAbortMotion. Branch-specific synchronous lower catches/events may differ as noted.","Acquire listed resources first, then inspect token; requested => release resources, m_abortjob=true, throw into interpreter catch. Child Task.Run has no supplied cancellation token.","Supplemental complete ClassMachineStatus.la1343–1374 reads float, optional F flag, validates plate/well and adds/reduces logical fluid; returns one-element original line. Captured result assignment is asynchronous but same-line return is NOT evidence of a lost loop target. Its model mutation remains child work; invalid plate throws in unobserved task.",ComponentLocks.Lock; ComponentLocks.ReleaseLock; Exception; Task.Run; m_machineStatus.la; Convert.ToInt32,SPEC DRAFT — not ported/qualified
